fips,date,count
26119,2020-06-25,3
26121,2021-01-14,276
26123,2020-09-24,353
26125,2020-06-18,576
26127,2020-06-25,24
26129,2020-12-11,73
26131,2020-06-25,5
26133,2020-12-11,50
26135,2020-06-25,2
26137,2020-06-24,29
26141,2020-06-25,19
26143,2020-12-11,45
26145,2021-03-29,380
26149,2020-05-29,64
26151,2020-12-11,104
26153,2020-06-25,20
26157,2020-12-11,37
26159,2021-02-24,83
26163,2021-06-14,1220
26165,2020-06-24,40
27000,2020-11-12,7424
27001,2021-03-29,38
27007,2021-03-30,97
27009,2020-10-12,35
27013,2021-03-30,78
27015,2021-03-29,17
27017,2021-03-29,20
27019,2021-03-30,26
27021,2021-03-30,48
27025,2021-03-29,33
27027,2021-03-30,81
27029,2021-03-30,13
27031,2021-02-14,1
27035,2021-03-30,85
27037,2021-03-30,181
27041,2021-03-29,30
27043,2021-03-29,15
27045,2021-03-30,4
27047,2021-03-29,23
27049,2021-03-29,49
27053,2021-06-14,518
27057,2021-03-29,60
27059,2021-03-30,23
27065,2021-03-29,18
27067,2021-03-29,52
27071,2021-03-29,19
27073,2021-03-30,5
27079,2021-03-30,13
27083,2021-03-30,36
27085,2021-03-29,21
27091,2020-12-22,20
27093,2021-03-30,30
27095,2021-03-30,43
27097,2021-03-29,29
27099,2020-11-13,51
27103,2021-03-29,16
27105,2021-03-29,29
27109,2021-03-30,72
27113,2021-02-17,34
27115,2021-03-30,47
27117,2021-03-29,15
27119,2020-10-19,140
27123,2021-06-14,0
27127,2021-03-29,14
27129,2021-03-29,22
27131,2021-03-29,14
27135,2021-03-30,14
27137,2021-03-30,148
27139,2021-03-30,118
27141,2021-03-29,264
27143,2021-03-30,5
27147,2021-03-29,45
27151,2021-03-30,7
27153,2021-02-25,13
27155,2021-03-30,8
27157,2021-03-29,10
27159,2021-03-06,10
27161,2021-03-29,3
27165,2021-03-30,11
27167,2021-03-29,8
27169,2021-03-30,29
27171,2021-03-30,108
27173,2021-03-30,12
28000,2021-06-14,17657
28001,2021-03-30,89
28025,2021-06-14,64
28033,2021-06-14,159
28035,2021-06-14,303
28045,2021-06-14,190
28047,2021-06-14,543
28049,2021-06-14,552
28059,2021-03-30,350
28061,2021-03-30,19
28069,2021-06-14,386
28073,2021-06-14,92
28081,2021-03-30,274
28091,2021-06-14,275
28111,2021-06-14,23
28133,2020-11-12,41
28143,2021-06-14,26
28163,2021-06-14,341
29000,2020-05-14,29318
29009,2021-06-14,52
29013,2021-06-14,17
29015,2021-03-30,28
29017,2021-06-14,23
29019,2021-03-30,256
29021,2021-06-14,187
29031,2021-06-14,206
29037,2021-03-19,117
29039,2021-03-30,49
29043,2021-06-14,87
29045,2021-06-14,10
29047,2021-03-10,235
29053,2021-06-14,53
29061,2021-06-14,123
29063,2021-06-14,123
29077,2021-06-14,650
29083,2021-06-14,72
29089,2021-06-14,17
29095,2021-03-30,800
29097,2021-03-30,212
29101,2021-06-14,135
29109,2021-06-14,91
29111,2021-03-30,13
29117,2021-06-14,36
29119,2021-06-14,47
29127,2021-03-29,86
29137,2021-06-14,11
29141,2021-06-14,73
29147,2021-06-14,0
29157,2021-06-14,35
29165,2021-06-14,166
29169,2021-02-25,48
29175,2021-06-14,73
29189,2021-06-06,0
29195,2021-06-14,45
29201,2021-06-14,136
29209,2021-06-14,50
29213,2021-03-29,153
29510,2020-04-05,739
30001,2021-03-30,10
30003,2021-03-30,34
30007,2021-01-21,41
