fips,case,death
13101.0,2020-04-06,
13103.0,2020-03-19,2020-04-05
13105.0,2020-04-03,
13107.0,2020-03-31,2020-05-08
13109.0,2020-04-12,
13111.0,2020-03-24,2020-04-20
13113.0,2020-03-09,2020-03-19
13115.0,2020-03-09,2020-03-19
13117.0,2020-03-16,2020-03-24
13119.0,2020-03-26,2020-04-30
13121.0,2020-03-02,2020-03-19
13123.0,2020-03-30,2020-05-12
13125.0,2020-05-07,
13127.0,2020-03-19,2020-04-23
13129.0,2020-03-13,2020-03-24
13131.0,2020-03-31,2020-04-14
13133.0,2020-03-24,2020-04-07
13135.0,2020-03-07,2020-03-20
13137.0,2020-03-27,2020-04-10
13139.0,2020-03-16,2020-04-15
13141.0,2020-04-07,2020-04-28
13143.0,2020-03-26,2020-04-13
13145.0,2020-03-23,2020-04-09
13147.0,2020-03-27,
13149.0,2020-03-20,2020-03-24
13151.0,2020-03-13,2020-03-21
13153.0,2020-03-18,2020-03-27
13155.0,2020-03-24,2020-04-22
13157.0,2020-03-25,2020-04-08
13159.0,2020-03-24,2020-05-21
13161.0,2020-04-06,2020-04-20
13163.0,2020-03-30,2020-04-09
13165.0,2020-03-28,2020-04-08
13167.0,2020-03-30,2020-04-09
13169.0,2020-03-25,
13171.0,2020-03-20,2020-04-28
13173.0,2020-04-01,2020-04-14
13175.0,2020-03-19,2020-04-10
13177.0,2020-03-11,2020-03-24
13179.0,2020-03-23,2020-06-02
13181.0,2020-03-20,2020-05-18
13183.0,2020-03-25,2020-05-21
13185.0,2020-03-11,2020-03-27
13187.0,2020-03-21,2020-04-27
13189.0,2020-03-26,2020-04-02
13191.0,2020-03-30,2020-05-30
13193.0,2020-03-24,2020-04-20
13195.0,2020-03-23,2020-03-30
13197.0,2020-04-03,2020-04-17
13199.0,2020-03-24,2020-04-28
13201.0,2020-03-20,
13205.0,2020-03-24,2020-03-30
13207.0,2020-03-20,2020-04-04
13209.0,2020-04-11,
13211.0,2020-03-23,
13213.0,2020-03-28,2020-05-01
13215.0,2020-03-20,2020-04-06
13217.0,2020-03-15,2020-04-03
13219.0,2020-03-20,2020-04-07
13221.0,2020-03-31,2020-04-02
13223.0,2020-03-16,2020-04-06
13225.0,2020-03-19,2020-03-29
13227.0,2020-03-20,2020-03-27
13229.0,2020-03-23,2020-04-07
13231.0,2020-03-28,2020-04-15
13233.0,2020-03-06,2020-05-26
13235.0,2020-03-24,2020-04-13
13237.0,2020-04-01,2020-04-17
13239.0,2020-04-03,2020-04-15
13241.0,2020-03-31,2020-04-28
13243.0,2020-03-20,2020-04-06
13245.0,2020-03-17,2020-04-02
13247.0,2020-03-19,2020-03-27
13249.0,2020-03-30,2020-04-06
13251.0,2020-03-31,2020-04-15
13253.0,2020-03-24,2020-04-13
13255.0,2020-03-20,2020-04-01
13257.0,2020-03-24,2020-04-17
13259.0,2020-03-31,2020-05-28
13261.0,2020-03-20,2020-03-28
13263.0,2020-03-30,2020-04-07
13265.0,2020-05-03,
13267.0,2020-03-22,
13269.0,2020-03-25,2020-04-06
13271.0,2020-04-02,2020-05-13
13273.0,2020-03-20,2020-03-24
13275.0,2020-03-25,2020-04-07
13277.0,2020-03-20,2020-04-07
13279.0,2020-03-26,2020-04-02
13281.0,2020-04-03,2020-04-28
13283.0,2020-04-06,2020-06-18
13285.0,2020-03-16,2020-03-27
13287.0,2020-03-20,2020-04-13
13289.0,2020-03-22,2020-05-31
13291.0,2020-04-01,2020-04-09
13293.0,2020-03-27,2020-04-11
13295.0,2020-03-31,2020-06-10
13297.0,2020-03-28,2020-04-05
13299.0,2020-03-25,2020-04-01
13301.0,2020-03-30,
13303.0,2020-03-23,2020-04-17
13305.0,2020-04-04,
13307.0,2020-03-31,2020-04-26
13309.0,2020-03-28,
13311.0,2020-03-25,2020-05-05
13313.0,2020-03-17,2020-03-29
13315.0,2020-03-31,2020-04-18
13317.0,2020-03-25,2020-05-13
13319.0,2020-03-31,2020-04-10
13321.0,2020-03-20,2020-03-27
15001.0,2020-03-17,
15003.0,2020-03-06,2020-03-31
15007.0,2020-03-14,
15009.0,2020-03-15,2020-04-06
16001.0,2020-03-13,2020-03-28
16003.0,2020-03-31,
16005.0,2020-03-24,2020-06-01
16009.0,2020-05-25,
16011.0,2020-03-20,
16013.0,2020-03-14,2020-03-26
16015.0,2020-06-25,
16017.0,2020-03-30,
16019.0,2020-03-28,2020-06-14
16021.0,2020-06-26,
16025.0,2020-03-31,
16027.0,2020-03-20,2020-03-26
16029.0,2020-04-04,
16031.0,2020-03-24,2020-03-31
16035.0,2020-06-26,
16037.0,2020-03-26,
16039.0,2020-03-30,2020-04-20
16041.0,2020-05-29,
16043.0,2020-03-25,
16045.0,2020-03-27,
16047.0,2020-04-01,2020-06-15
16049.0,2020-03-25,
16051.0,2020-03-25,
16053.0,2020-03-30,2020-04-08
16055.0,2020-03-20,2020-06-18
16057.0,2020-04-01,
16059.0,2020-04-25,
16063.0,2020-03-28,
16065.0,2020-03-17,
16067.0,2020-03-30,
16069.0,2020-03-25,2020-03-27
16073.0,2020-03-29,
16075.0,2020-03-25,2020-04-06
16077.0,2020-04-07,
16081.0,2020-03-14,
16083.0,2020-03-18,2020-04-03
16085.0,2020-03-22,
16087.0,2020-04-02,
17001.0,2020-03-20,2020-05-01
17003.0,2020-04-16,
17005.0,2020-03-29,2020-04-16
17007.0,2020-04-05,2020-04-08
17009.0,2020-05-01,
17011.0,2020-03-27,2020-05-05
17013.0,2020-04-05,
17015.0,2020-03-28,2020-03-30
17017.0,2020-04-20,2020-06-26
17019.0,2020-03-22,2020-04-07
17021.0,2020-03-20,2020-04-02
17023.0,2020-03-30,
17025.0,2020-04-14,
17027.0,2020-03-15,2020-04-24
17029.0,2020-04-07,2020-04-25
17031.0,2020-01-24,2020-03-17
17033.0,2020-03-30,
17035.0,2020-03-14,
17037.0,2020-03-21,2020-04-06
17039.0,2020-04-03,
17041.0,2020-03-25,
17043.0,2020-03-14,2020-03-24
17045.0,2020-05-29,
17047.0,2020-05-13,
17049.0,2020-04-03,2020-04-09
17051.0,2020-03-28,2020-04-12
17053.0,2020-03-31,2020-04-07
17055.0,2020-03-26,
17057.0,2020-04-10,2020-05-04
17059.0,2020-04-05,
17061.0,2020-04-10,
17063.0,2020-03-24,2020-05-08
17065.0,2020-04-18,
17067.0,2020-04-08,2020-06-02
17069.0,2020-04-21,
17071.0,2020-04-17,
17073.0,2020-03-27,2020-06-12
17075.0,2020-03-27,2020-05-04
17077.0,2020-03-18,2020-04-04
17079.0,2020-04-04,2020-04-13
17081.0,2020-04-06,2020-04-22
17083.0,2020-04-03,2020-04-25
17085.0,2020-03-22,2020-05-13
17087.0,2020-04-13,
17089.0,2020-03-10,2020-03-25
17091.0,2020-03-18,2020-04-02
17093.0,2020-03-18,2020-03-29
17095.0,2020-03-29,
17097.0,2020-03-11,2020-03-27
17099.0,2020-03-18,2020-03-28
17101.0,2020-04-07,
17103.0,2020-04-04,2020-05-14
17105.0,2020-03-22,2020-04-20
17107.0,2020-04-02,
17109.0,2020-04-11,2020-05-02
17111.0,2020-03-10,2020-03-26
17113.0,2020-03-20,2020-03-22
17115.0,2020-03-28,2020-04-08
17117.0,2020-04-02,2020-05-05
17119.0,2020-03-18,2020-04-07
17121.0,2020-03-30,
17123.0,2020-03-25,
17125.0,2020-04-04,
17127.0,2020-04-01,
17129.0,2020-03-29,
17131.0,2020-04-02,
17133.0,2020-03-23,2020-04-07
17135.0,2020-03-29,2020-04-05
17137.0,2020-03-25,2020-03-30
17139.0,2020-04-02,
17141.0,2020-03-31,2020-04-09
17143.0,2020-03-16,2020-04-05
17145.0,2020-04-11,2020-06-29
17147.0,2020-04-02,
17149.0,2020-04-04,
17151.0,2020-05-08,
17153.0,2020-04-09,
17155.0,2020-05-16,
17157.0,2020-03-30,2020-04-17
17159.0,2020-04-07,
17161.0,2020-03-22,2020-04-07
17163.0,2020-03-14,2020-03-27
17165.0,2020-03-30,
17167.0,2020-03-14,2020-03-19
17169.0,2020-04-09,
17173.0,2020-04-07,2020-04-29
17175.0,2020-04-08,
17177.0,2020-03-22,2020-05-17
17179.0,2020-03-26,2020-04-06
17181.0,2020-04-15,2020-05-05
17183.0,2020-04-01,2020-04-29
17185.0,2020-04-06,
17187.0,2020-04-11,
17189.0,2020-03-18,
17191.0,2020-04-17,2020-05-14
17193.0,2020-04-20,
17195.0,2020-03-15,2020-03-31
17197.0,2020-03-16,2020-03-19
17199.0,2020-03-18,2020-05-08
17201.0,2020-03-15,2020-04-01
17203.0,2020-03-14,2020-04-21
18001.0,2020-03-10,2020-04-12
18003.0,2020-03-20,2020-03-23
18005.0,2020-03-16,2020-04-06
18007.0,2020-04-12,
18009.0,2020-04-02,2020-04-15
18011.0,2020-03-10,2020-04-05
18013.0,2020-03-24,2020-04-07
18015.0,2020-03-27,2020-04-14
18017.0,2020-03-31,2020-04-07
18019.0,2020-03-18,2020-04-01
18021.0,2020-03-29,2020-04-22
18023.0,2020-03-27,2020-04-07
18025.0,2020-03-28,2020-04-12
18027.0,2020-04-05,2020-04-08
18029.0,2020-03-24,2020-03-27
18031.0,2020-03-24,2020-03-31
18033.0,2020-03-25,2020-04-15
18035.0,2020-03-21,2020-03-21
18037.0,2020-03-23,2020-05-12
18039.0,2020-03-21,2020-03-31
18041.0,2020-03-18,2020-03-28
18043.0,2020-03-16,2020-04-06
18045.0,2020-03-26,2020-04-02
18047.0,2020-03-17,2020-03-26
18049.0,2020-03-27,2020-04-30
18051.0,2020-03-24,2020-05-21
18053.0,2020-03-20,2020-04-04
18055.0,2020-03-29,2020-04-10
18057.0,2020-03-15,2020-04-01
18059.0,2020-03-21,2020-03-25
18061.0,2020-03-21,2020-04-03
18063.0,2020-03-08,2020-03-27
18065.0,2020-03-27,2020-04-15
18067.0,2020-03-11,2020-03-25
18069.0,2020-03-27,2020-04-02
18071.0,2020-03-24,2020-04-28
18073.0,2020-03-25,2020-03-26
18075.0,2020-04-01,
18077.0,2020-03-31,2020-05-14
18079.0,2020-03-18,2020-03-20
18081.0,2020-03-11,2020-03-17
18083.0,2020-03-29,
18085.0,2020-03-27,2020-04-09
18087.0,2020-03-27,2020-04-07
18089.0,2020-03-17,2020-03-28
18091.0,2020-03-14,2020-04-02
18093.0,2020-03-24,2020-04-01
18095.0,2020-03-18,2020-03-22
18097.0,2020-03-06,2020-03-16
18099.0,2020-03-26,2020-04-22
18101.0,2020-04-04,
18103.0,2020-03-21,2020-05-02
18105.0,2020-03-22,2020-04-12
18107.0,2020-03-24,2020-05-05
18109.0,2020-03-22,2020-03-29
18111.0,2020-03-28,2020-04-06
18113.0,2020-03-09,2020-04-05
18115.0,2020-03-24,
18117.0,2020-03-26,2020-04-04
18119.0,2020-03-19,2020-04-10
18121.0,2020-04-03,
18123.0,2020-04-10,2020-05-15
18125.0,2020-04-12,
18127.0,2020-03-24,2020-04-08
18129.0,2020-03-26,
18131.0,2020-04-06,2020-06-06
18133.0,2020-03-22,2020-03-26
18135.0,2020-03-27,2020-04-03
18137.0,2020-03-22,2020-03-31
18139.0,2020-03-25,2020-04-03
18141.0,2020-03-11,2020-03-23
18143.0,2020-03-22,2020-03-22
18145.0,2020-03-20,2020-04-06
18147.0,2020-04-02,2020-05-02
18149.0,2020-03-24,2020-04-13
18151.0,2020-03-29,2020-04-08
18153.0,2020-03-24,2020-05-20
18155.0,2020-03-28,
18157.0,2020-03-19,2020-03-27
18159.0,2020-03-22,2020-04-16
18161.0,2020-04-04,
18163.0,2020-03-20,2020-04-07
18165.0,2020-03-28,
18167.0,2020-03-20,2020-03-27
18169.0,2020-03-28,2020-04-22
18171.0,2020-03-26,2020-03-31
18173.0,2020-03-24,2020-04-10
18175.0,2020-03-21,2020-05-06
18177.0,2020-03-19,2020-04-07
18179.0,2020-03-14,2020-06-21
18181.0,2020-03-28,2020-05-07
18183.0,2020-03-27,2020-04-05
19001.0,2020-03-17,
19003.0,2020-05-17,
19005.0,2020-03-15,2020-03-27
19007.0,2020-03-26,2020-04-05
19009.0,2020-03-30,2020-05-12
19011.0,2020-03-25,2020-04-07
19013.0,2020-03-17,2020-04-17
19015.0,2020-03-28,2020-06-15
19017.0,2020-04-02,2020-04-23
19019.0,2020-03-24,2020-06-05
19021.0,2020-04-07,2020-06-01
19023.0,2020-03-27,2020-05-30
19025.0,2020-05-01,2020-06-29
19027.0,2020-03-12,2020-06-04
19029.0,2020-04-13,
19031.0,2020-03-24,2020-05-07
19033.0,2020-03-22,2020-05-21
19035.0,2020-04-21,
19037.0,2020-04-06,
19039.0,2020-04-05,2020-06-06
19041.0,2020-03-31,
19043.0,2020-03-26,2020-04-15
19045.0,2020-03-27,2020-04-26
19047.0,2020-03-30,2020-04-11
19049.0,2020-03-14,2020-05-04
19051.0,2020-04-29,2020-06-08
19053.0,2020-05-27,
